original_dish,healthier_alternative,halal_status,recipe_name,prep_time,ingredients,steps,healthy_brands_and_where_to_buy
"Roasted Chicken Rice","Steamed Chicken Breast on Brown Rice","Halal","Healthier Hainanese Chicken Rice","15 min","2 boneless skinless chicken breasts (300g); 1 cup brown rice; 3 slices ginger; 2 stalks spring onion; 2 pandan leaves; 1 tbsp sesame oil; 2 cloves garlic; 500ml low-sodium chicken stock; cucumber slices; coriander","Poach chicken in stock with ginger/pandan 20 min; toast brown rice with garlic then cook in broth; slice chicken and serve over rice with cucumber; make ginger-scallion sauce","Brown rice: FairPrice Thai Brown Unpolished 2.5kg (~) | Chicken: SG Fresh skinless breast from NTUC (~.50) | Stock: Swanson Low-Sodium Chicken Broth (~.50) | Oil: Yeo's Pure Sesame Oil (~)"
"Char Kway Teow","Kway Teow Soup with Fish Slices & Veg","Not Halal","Kway Teow Fish Soup","10 min","200g flat rice noodles; 250g fresh batang fillet sliced; 1L water/fish stock; 1 tomato; 1 cup kangkong; 2 slices ginger; 1 tbsp fried shallots; white pepper; 1 tsp light soy; 1 tbsp evaporated milk (optional)","Boil water with ginger and tomato 5 min; add noodles 2 min; slide in fish slices 2-3 min; add kangkong last 30 sec; season with soy and white pepper; garnish with fried shallots","Noodles: FairPrice Fresh Kway Teow (~.20) | Fish: Fresh batang from wet market (~/300g) | Soy sauce: Kwong Cheong Thye Light Soy (~) | Shallots: FairPrice Fried Shallots (~.50)"
"Nasi Lemak with Fried Chicken Wing","Thunder Tea Rice (Lei Cha Fan)","Halal","Thunder Tea Rice (Lei Cha Fan)","20 min","1.5 cups cooked brown rice; 1 cup kangkong; 1 cup chye sim; 1/2 cup long beans; 1/4 cup dried shrimp; 2 tbsp peanuts; 1 block firm tofu; tea paste (50g green tea leaves 20g basil 10g mint 2 tbsp sesame seeds); 500ml hot water","Pound tea paste with mortar; blanch vegetables 1 min; stir-fry long beans 2 min; dry-fry tofu until golden; assemble rice with toppings; pour warm tea broth over","Brown rice: FairPrice Thai Brown 2.5kg (~) | Tofu: Unicurd Firm Tofu (~.50) | Tea leaves: Lei Cha powder from Sheng Siong (~.50) | Vegetables: Fresh from any wet market (~-2/bunch)"
"Curry Laksa","Sliced Fish Soup with Bee Hoon","Halal","Teochew-style Sliced Fish Soup","10 min","200g fresh batang/garoupa fillet sliced thin; 100g bee hoon; 1L water; 2 slices ginger; 1 tomato wedges; 1 cup napa cabbage; 2 stalks Chinese celery; 1 tsp sesame oil; white pepper; fried garlic","Soak bee hoon 5 min; boil water with ginger and tomato; add cabbage 2 min; slide in fish 2 min; season with sesame oil and pepper; serve over bee hoon with celery and garlic","Bee hoon: FairPrice Rice Vermicelli (~.50) | Fish: Fresh batang/garoupa from wet market (~-8) | Sesame oil: Yeo's brand (~) | Vegetables: Fresh from wet market (~-2)"
"Roti Prata (2 pieces) with Curry","Chapati with Dhal & Vegetables","Halal","Wholemeal Chapati with Lentil Dhal","15 min","1 cup wholemeal atta flour; 1/2 cup warm water; pinch salt; 1/2 cup red lentils; 2 cups water; 1 tomato; 1/2 onion; 1 tsp cumin seeds; 1/2 tsp turmeric; 1 clove garlic; coriander; 1 tsp olive oil","Knead chapati dough rest 10 min; boil lentils with turmeric 12 min; temper cumin in oil add onion garlic tomato; mix into lentils; roll and dry-roast chapati; serve together","Flour: Pillsbury Wholemeal Atta (~.80/kg) | Lentils: Tata Masoor Dal from Mustafa (~.50) | Oil: Bertolli Olive Oil (~) | Spices: MDH brand from Mustafa Centre (~-3)"
"Yong Tau Foo (Fried with Laksa gravy)","Yong Tau Foo (Soup with fresh picks)","Halal","Healthy Yong Tau Foo (Soup Base)","10 min","6 pieces fresh veg (bitter gourd ladies finger eggplant chilli); 100g firm tofu; 2 pieces tau kee; 1 bunch kangkong; 100g wholegrain bee hoon; 1L ikan bilis stock; fish paste (100g minced fish 1 tsp cornflour pepper); soy sauce and chilli","Stuff fish paste into vegetables; boil ikan bilis stock; add stuffed veg and tofu 5 min; add greens last minute; cook bee hoon separately; serve with light soy and chilli","Tofu: Unicurd Firm Tofu (~.50) | Bee hoon: FairPrice Wholegrain Bee Hoon (~) | Fish paste: Fresh from wet market (~-4) | Vegetables: Fresh bitter gourd/eggplant from wet market (~-2)"
"Indian Mee Goreng","Mee Soto (Chicken Noodle Soup)","Halal","Mee Soto Ayam (Turmeric Chicken Soup)","10 min","200g skinless chicken thigh (bone-in); 100g bee hoon; 1L water; 1 stalk lemongrass; 1/2 tsp turmeric; 2 shallots; 1 clove garlic; bean sprouts; fried shallots; Chinese celery; lime; 1 tsp canola oil","Saute shallots and garlic in canola oil; add water lemongrass turmeric boil; simmer chicken 20 min then shred; cook bee hoon in broth 2 min; assemble with bean sprouts; garnish with fried shallots celery lime","Bee hoon: FairPrice Rice Vermicelli (~.50) | Chicken: SG Fresh skinless thigh (~) | Oil: Mazola Canola Oil Healthier Choice (~) | Spices: Fresh lemongrass/turmeric from wet market (~-2)"
"Hokkien Mee","Prawn Soup Bee Hoon","Not Halal","Prawn Soup Bee Hoon","10 min","200g fresh prawns (shell-on for stock); 100g bee hoon; 1L water; 2 cloves garlic; 1 tbsp dried shrimp; kangkong; bean sprouts; white pepper; 1 tsp canola oil","Fry prawn shells and dried shrimp in oil until fragrant; add water and simmer 10 min to make stock; strain broth; cook bee hoon 2 min; poach fresh prawns in broth 3 min; serve with kangkong and bean sprouts","Prawns: Fresh from wet market (~/300g) | Bee hoon: FairPrice Rice Vermicelli (~.50) | Dried shrimp: FairPrice brand (~) | Vegetables: Fresh kangkong from wet market (~)"
"Bak Chor Mee (Dry)","Ban Mian Soup (Fish/Egg)","Not Halal","Ban Mian Soup with Egg","10 min","200g ban mian noodles (fresh); 1L ikan bilis stock; 1 egg per bowl; 100g minced pork (lean); 1 cup sayur manis (sweet leaf); 2 slices ginger; light soy sauce; fried ikan bilis topping","Boil ikan bilis stock with ginger; add ban mian noodles cook 3-4 min; push aside and crack egg in broth to poach; add sayur manis leaves last minute; season with light soy; top with fried ikan bilis","Noodles: Fresh ban mian from wet market (~.50) | Pork: FairPrice Lean Minced Pork (~.50) | Ikan bilis: FairPrice dried anchovies (~) | Vegetables: Sayur manis from wet market (~.50)"
"Wanton Mee (Dry with Char Siew)","Wanton Noodle Soup (Lean)","Not Halal","Wanton Noodle Soup (Healthier)","15 min","200g wanton noodles; 8 wanton skins; 100g lean pork mince; 1 tsp sesame oil; 1L chicken stock; chye sim; light soy; white pepper; dash of oyster sauce","Mix lean pork with sesame oil and pepper to make wanton filling; wrap in wanton skins; boil chicken stock; cook noodles 1 min; poach wantons 3 min; add chye sim; season broth with light soy and oyster sauce","Noodles: Fresh wanton mee from wet market (~.50) | Pork: FairPrice Lean Minced Pork (~.50) | Wanton skin: FairPrice chilled (~.80) | Soy: Kwong Cheong Thye Light Soy (~)"
"Duck Rice (Braised)","Soya Sauce Chicken with Brown Rice (no skin)","Not Halal","Soya Sauce Chicken Brown Rice","5 min","2 chicken leg quarters (skin removed); 1 cup brown rice; 100ml dark soy sauce; 50ml light soy; 2 tbsp rock sugar; 1 star anise; 1 cinnamon stick; 3 slices ginger; 500ml water; hard-boiled egg; cucumber","Simmer soy sauces with sugar spices and water 5 min; add skinless chicken pieces and braise 25 min on low; cook brown rice separately; slice chicken and serve over rice with braising sauce (use sparingly); add egg and cucumber","Brown rice: FairPrice Thai Brown 2.5kg (~) | Chicken: SG Fresh leg quarters (~) | Soy: Kwong Cheong Thye Dark Soy (~) | Spices: FairPrice star anise/cinnamon (~)"
"Economy Rice / Cai Fan (typical 2 meat 1 veg)","Economy Rice (1 steamed meat + 2 veg + less rice)","Halal","Healthier Cai Fan Combo","0 min","Ask at stall: 1 steamed fish/tofu; 2 portions leafy veg (chye sim + long beans); less white rice or brown rice if available; skip gravy","Choose steamed egg or tofu over deep-fried meat; pick dark leafy veg over starchy items; ask for less rice or swap to brown; say no to gravy/curry on top; pair with clear soup if available","Brown rice: FairPrice Thai Brown 2.5kg (~) | Fish: Fresh steamed fish from wet market (~-7) | Vegetables: Fresh leafy greens from wet market (~-2) | N/A"
"Lor Mee (Braised Noodles)","Ipoh Hor Fun (Soup)","Not Halal","Ipoh Hor Fun with Chicken","5 min","200g fresh hor fun (flat rice noodles); 150g chicken breast (shredded); 800ml chicken stock; 1 cup bean sprouts; spring onion; light soy sauce; white pepper; sesame oil dash","Poach chicken breast in stock 15 min; shred chicken; blanch hor fun in hot water 30 sec; blanch bean sprouts; assemble in bowl with broth; top with chicken spring onion; season with soy pepper sesame oil","Hor fun: Fresh from wet market (~.50) | Chicken: SG Fresh chicken breast (~.50) | Soy: Kwong Cheong Thye Light Soy (~) | Bean sprouts: Fresh from wet market (~.80)"
"Prawn Mee (Fried)","Prawn Mee Soup (clear broth)","Not Halal","Prawn Noodle Soup","15 min","300g fresh prawns (shell-on); 100g bee hoon + 100g yellow noodles; 1L water; 2 cloves garlic; rock sugar pinch; kangkong; bean sprouts; sambal on side; pork ribs (100g optional)","Fry prawn heads/shells until red and fragrant; add water boil 15 min strain; add rock sugar for sweetness; cook noodles separately; poach fresh prawns 3 min; serve in bowl with kangkong bean sprouts and sambal on side","Prawns: Fresh from wet market (~/300g) | Noodles: FairPrice bee hoon + yellow noodles (~.50 each) | Kangkong: Fresh from wet market (~) | Sugar: FairPrice Rock Sugar (~)"
"Murtabak (Mutton)","Chicken Shawarma Wrap (homemade)","Halal","Healthier Chicken Shawarma Wrap","15 min","2 chicken breasts sliced thin; 2 wholemeal tortillas; 1 cup mixed salad; 1 tomato sliced; 1/2 cucumber sliced; Greek yoghurt (3 tbsp); 1 tsp cumin; 1 tsp paprika; 1/2 tsp turmeric; lemon juice; garlic","Marinate chicken with cumin paprika turmeric garlic and lemon 10 min; grill or pan-fry chicken with minimal oil 5-6 min; warm wholemeal tortillas; spread yoghurt sauce (yoghurt+garlic+lemon); layer chicken salad tomato cucumber; roll up tightly","Chicken: SG Fresh chicken breast (~.50) | Wraps: Mission Wholemeal Tortilla (~) | Yoghurt: Farmers Union Greek Yoghurt (~.50) | Spices: MDH cumin/paprika from Mustafa (~-3)"
"Claypot Rice","Steamed Brown Rice with Braised Chicken & Veg","Not Halal","Healthier Claypot-style Rice","10 min","1.5 cups brown rice; 200g chicken thigh (skinless); 2 tbsp dark soy; 1 tbsp oyster sauce; 1 tsp sesame oil; 1 cup kai lan (Chinese broccoli); 3 slices ginger; spring onion","Season chicken with dark soy oyster sauce ginger; cook brown rice in rice cooker; 5 min before done lay chicken on rice to steam; rest 5 min; blanch kai lan; serve topped with spring onion and dash of sesame oil","Brown rice: FairPrice Thai Brown 2.5kg (~) | Chicken: SG Fresh skinless thigh (~) | Soy: Kwong Cheong Thye Dark Soy (~) | Kai lan: Fresh from wet market (~.50)"
"Satay (10 sticks with peanut sauce)","Chicken Satay (5 sticks) with Cucumber Salad","Halal","Grilled Chicken Satay (Healthier)","20 min","300g chicken breast cut into strips; 10 bamboo skewers; marinade: 1 tbsp turmeric 1 tsp cumin 1 tbsp lemongrass paste 1 tsp honey 1 tbsp light soy; cucumber-onion salad; reduced peanut dip: 2 tbsp peanut butter 1 tbsp water 1 tsp lime juice","Thread chicken onto soaked skewers; marinate 15 min; grill or pan-fry 3-4 min each side; make salad with cucumber onion and vinegar dressing; thin peanut butter with water and lime for dipping; serve 5 sticks per person with salad","Chicken: SG Fresh chicken breast (~.50) | Skewers: FairPrice bamboo skewers (~) | Peanut butter: Pic's No Sugar PB from Cold Storage (~) | Spices: Fresh turmeric/lemongrass from wet market (~)"
"Popiah (Fried Spring Roll 3pcs)","Fresh Popiah (2 rolls)","Halal","Fresh Popiah","30 min","8 fresh popiah skins; 300g jicama/turnip (shredded); 100g carrots (shredded); 100g bean sprouts; 2 eggs (scrambled); 50g dried shrimp; lettuce leaves; 2 cloves garlic; sweet sauce; chilli sauce; crushed peanuts","Stir-fry garlic then add jicama and carrots with splash of water; braise 15 min until soft; scramble eggs separately; toast dried shrimp; lay popiah skin flat add lettuce then turnip filling egg peanuts; fold sides and roll tightly; slice in half","Skin: Kway Guan Huat Fresh Popiah Skin (~) | Turnip: Fresh jicama from wet market (~) | Shrimp: FairPrice dried shrimp (~.50) | Peanuts: FairPrice crushed peanuts (~.50)"
"Fried Carrot Cake (Black)","Steamed Carrot Cake (White - less oil)","Not Halal","Steamed Radish Cake (lighter)","20 min","500g white radish (grated); 150g rice flour; 50g tapioca starch; 400ml water; 1 tsp salt; 2 tbsp dried shrimp; spring onion; 1 tbsp oil for pan (less than traditional)","Grate radish and simmer in water 10 min; mix rice flour and tapioca starch with 200ml water to form batter; combine with cooked radish; pour into oiled tray and steam 30 min; cool and slice; pan-fry lightly with egg and chai poh (preserved radish)","Radish: Fresh daikon from wet market (~.50) | Rice flour: FairPrice Rice Flour (~) | Tapioca starch: FairPrice brand (~) | Chai poh: FairPrice preserved radish (~.50)"
"Rojak (Fried Dough Fritters type)","Fruit Rojak (No Fried Dough)","Halal","Fresh Fruit & Veg Rojak","15 min","1 cup pineapple chunks; 1 cup cucumber; 1 cup jicama; 1 green mango (sliced); bean sprouts; tau pok (1 piece toasted); rojak sauce: 2 tbsp hae ko (prawn paste) + 1 tbsp lime juice + 1 tsp sugar + chilli padi; crushed peanuts","Prepare all fruits and vegetables into bite-sized pieces; toast tau pok lightly (skip you tiao); mix rojak sauce separately; toss everything together; top with crushed peanuts; serve immediately","Hae ko: Teo Heng Hae Ko from FairPrice (~) | Fruits: Fresh pineapple/mango from wet market (~-4) | Tau pok: FairPrice fried tofu puffs (~.50) | Peanuts: FairPrice crushed peanuts (~.50)"
"Nasi Briyani (Mutton)","Nasi Briyani (Grilled Chicken + less rice)","Halal","Lighter Chicken Briyani","15 min","1 cup basmati rice; 200g chicken breast; 2 tbsp yoghurt; 1 tsp garam masala; 1/2 tsp turmeric; 1 bay leaf; 2 cardamom pods; 1 cinnamon stick; 1 onion (sliced); 1 tomato; saffron strands; fresh mint; raita (yoghurt + cucumber)","Marinate chicken in yoghurt and spices 10 min; saut̩ onion until golden; add chicken and cook 5 min; add rice and water (2:1 ratio) with whole spices; cook on low 20 min covered; rest 5 min; serve with raita and fresh mint; use only 3/4 cup rice per person","Rice: India Gate Basmati Rice from Mustafa (~/kg) | Chicken: SG Fresh chicken breast (~.50) | Yoghurt: Farmers Union Greek Yoghurt (~.50) | Spices: MDH Garam Masala from Mustafa (~-5)"
"Mee Rebus","Mee Siam (less gravy)","Halal","Healthier Mee Siam","15 min","200g bee hoon; sauce: 2 tbsp chilli paste + 2 tbsp tamarind juice + 1 tbsp sugar + 200ml water; bean sprouts; hard-boiled egg; tau pok sliced; lime; chives; dried shrimp","Fry chilli paste with dried shrimp until fragrant; add tamarind juice sugar and water to form gravy; soak bee hoon in hot water 5 min drain; toss bee hoon in gravy until coated; top with bean sprouts sliced tau pok egg chives; squeeze lime over","Bee hoon: FairPrice Rice Vermicelli (~.50) | Tamarind: FairPrice Tamarind Paste (~.50) | Sambal: FairPrice Sambal Chilli (~) | Tau pok: FairPrice fried tofu puffs (~.50)"
"Bak Kut Teh (Pork Ribs Soup)","Bak Kut Teh (Lean Pork Loin version)","Not Halal","Lean Pork Bak Kut Teh","10 min","300g lean pork loin (sliced); 1L water; 1 BKT spice packet (white pepper + garlic + star anise + cloves); 4 cloves garlic; 1 tbsp light soy; 1 tbsp dark soy; lettuce leaves; mushrooms","Boil water with BKT spice packet and garlic 10 min; add lean pork slices and simmer 30 min; add mushrooms last 5 min; season with soy sauces; serve with lettuce leaves on side instead of you tiao; pair with brown rice","Pork: FairPrice Lean Pork Loin (~) | Spice packet: A1 BKT Spice Packet (~) | Soy: Kwong Cheong Thye Light+Dark Soy (~) | Mushrooms: FairPrice shiitake (~.50)"
"Kaya Toast Set (with soft-boiled eggs + kopi)","Wholemeal Toast with Peanut Butter + Teh-O-Kosong","Halal","Healthier Breakfast Toast","5 min","4 slices wholemeal bread; 2 tbsp natural peanut butter (no sugar); 1/2 banana (sliced); 2 soft-boiled eggs; teh-o-kosong (black tea no sugar)","Toast wholemeal bread until crispy; spread thin layer of peanut butter; add banana slices; soft-boil eggs 6.5 min; serve with teh-o-kosong; total set is under 250 kcal","Bread: Gardenia Wholemeal Bread (~) | Peanut butter: Pic's No Salt Smooth PB (~) | Eggs: SG Fresh Free-Range Eggs (~.50/10) | Tea: BOH Tea Bags (~)"
