original_dish,calories_original,healthier_alternative,calories_alternative,calories_saved,protein,fat,fibre,why_better,halal_status,stall_1_name,stall_1_location,stall_1_halal,stall_2_name,stall_2_location,stall_2_halal,recipe_name,prep_time,ingredients,steps
"Curry Chicken with Rice","650","Steamed Chicken with Brown Rice & Achar","380","270","32g","8g","4g","No coconut milk curry; steaming keeps chicken lean; achar (pickled veg) adds tangy crunch without calories","Halal","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre, #01-10","Not Halal","Ah Tai Hainanese Chicken Rice","Maxwell Food Centre, #01-07","Not Halal","Steamed Ginger Chicken with Achar","10 min","2 chicken drumsticks (skinless); 1 cup brown rice; 3 slices ginger; 1 stalk spring onion; achar: 1 cup cucumber + 1 carrot + 2 tbsp rice vinegar + 1 tsp sugar + pinch salt + sesame seeds","Rub chicken with ginger and salt; steam over boiling water 20-25 min until cooked through; cook brown rice; make achar by pickling cucumber and carrot in vinegar/sugar/salt mix 10 min; slice chicken serve over rice with achar on side"
"Char Siew Rice (BBQ Pork)","590","Lean Char Siew with Brown Rice & Greens","400","190","30g","12g","3g","Lean pork tenderloin instead of fatty belly; less sweet glaze; added vegetables for fibre","Not Halal","Char Siew Yoong","Blk 226D Ang Mo Kio Ave 1, #01-756","Not Halal","Kay Lee Roast Meat","18 Upper East Coast Road","Not Halal","Healthier Char Siew Rice","15 min","300g pork tenderloin; marinade: 2 tbsp hoisin sauce + 1 tbsp honey + 1 tbsp light soy + 1 tsp five-spice + red food colouring (optional); 1 cup brown rice; 1 cup choy sum; sesame seeds","Marinate pork 10 min (or overnight in fridge); roast at 200C for 20 min basting halfway; rest 5 min then slice; cook brown rice; blanch choy sum; assemble with sesame seeds on top"
"Fishball Noodles (Dry)","420","Fishball Noodle Soup (clear broth)","310","110","20g","6g","2g","Soup version skips oily chilli sauce dressing; clear broth is hydrating; still same bouncy fishballs","Not Halal","Song Kee Fishball Noodle","Toa Payoh Lorong 4 Hawker, #01-33","Not Halal","Li Xin Teochew Fishball Noodle","Chinatown Complex, #02-52","Not Halal","Fishball Noodle Soup","5 min","200g mee pok or mee kia; 8-10 fishballs; 100g minced pork (lean); 800ml pork/ikan bilis stock; chye sim; fried shallots; light soy sauce; white pepper","Boil stock; cook noodles 1-2 min and drain; add fishballs and minced pork to broth 3 min; add chye sim last 30 sec; place noodles in bowl ladle soup over; top with fried shallots and dash of soy"
"Fried Bee Hoon (with luncheon meat)","500","Clear Soup Bee Hoon with Sliced Fish & Veg","280","220","25g","5g","2g","No frying at all; fish provides omega-3; loaded with vegetables; very low fat","Halal","Any fish soup stall (island-wide)","Various hawker centres","Not Halal","Piao Ji Fish Porridge","Blk 352 Clementi Ave 2, #01-203","Not Halal","Fish Soup Bee Hoon","5 min","150g bee hoon; 200g red garoupa or threadfin fillet sliced; 800ml fish/ikan bilis stock; 1 tomato; 1 cup napa cabbage; ginger slices; Chinese celery; white pepper; fried garlic","Boil stock with ginger and tomato 5 min; add cabbage 2 min; gently add fish slices 2 min; soak bee hoon separately drain; assemble in bowl with stock and toppings; garnish with celery and fried garlic; season with white pepper"
"Nasi Goreng (Fried Rice Malay-style)","620","Nasi Ulam (Herb Rice)","320","300","10g","8g","5g","No frying involved; rice is mixed with fresh herbs; lots of vitamins and antioxidants; very aromatic","Halal","Hjh Maimunah","11 & 15 Jalan Pisang","Halal","Warong Nasi Pariaman","738 North Bridge Road","Halal","Nasi Ulam (Malay Herb Rice)","20 min","1.5 cups cooked jasmine rice (cooled); 1 cup mixed herbs: daun kesum (laksa leaf) + torch ginger bud + turmeric leaf + lemongrass + kaffir lime leaf (all finely sliced); 2 tbsp kerisik (toasted coconut); 1 tbsp dried shrimp (toasted); salt to taste","Cook rice and cool completely; finely shred all herbs (julienne); toast coconut flakes until golden (kerisik); toast dried shrimp; mix everything into rice gently; season with salt; serve at room temperature; pairs well with grilled fish"
"Fried Hokkien Mee","522","Stir-Fried Kway Teow with Prawns (less oil)","380","142","22g","12g","1g","Use healthier oil in smaller amount; more prawns less pork belly; still wok hei flavour","Not Halal","Kim Keat Hokkien Mee","Blk 511 Bishan St 13","Not Halal","Geylang Lor 29 Hokkien Mee","Blk 396 East Coast Road","Not Halal","Lighter Hokkien Mee","10 min","150g yellow noodles; 100g bee hoon; 200g prawns (peeled); 100g squid (sliced); 1 egg; 200ml prawn stock; 2 tbsp canola oil (instead of lard); bean sprouts; chives; sambal on side; lime","Make quick prawn stock from shells; heat wok with canola oil; fry noodles 1 min; add stock and cover 3 min; push aside crack egg stir; add prawns squid 2 min; add bean sprouts chives toss; serve with sambal and lime"
"Oyster Omelette (Or Luak)","580","Steamed Egg with Oysters & Veg","320","260","22g","14g","1g","No deep-frying starch batter; steamed egg is silky and light; oysters still provide zinc and iron","Not Halal","Ah Chuan Oyster Omelette","Blk 16 Bedok South Hawker, #01-187","Not Halal","Heng Fried Oyster","Old Airport Road Food Centre, #01-74","Not Halal","Steamed Egg with Oysters","5 min","4 eggs; 100g fresh oysters (cleaned); 200ml water or dashi stock; 1 tsp sesame oil; 1 tsp light soy; spring onion; white pepper; chilli sauce on side","Beat eggs with stock/water sesame oil and soy; pour into heatproof dish; place oysters on top; cover with foil; steam 10-12 min until just set; garnish with spring onion and white pepper; serve with chilli sauce"
"Chicken Chop Western (with fries)","780","Grilled Chicken Breast with Mashed Potato & Salad","420","360","38g","12g","4g","Grilled not battered/fried; mashed potato instead of deep-fried fries; salad adds vitamins","Halal","Astons Specialities","Multiple outlets","Not Halal","Han's","Multiple outlets","Not Halal","Grilled Chicken with Smashed Potato","10 min","2 chicken breasts; 2 medium potatoes; 1 cup mixed salad greens; 1 tomato; olive oil 1 tbsp; herbs: rosemary thyme; salt pepper; lemon wedge; 2 tbsp milk for mash","Season chicken with herbs salt pepper olive oil; grill or pan-sear 6 min per side; boil potatoes until soft and mash with milk and pinch salt; toss salad with lemon; serve together"
"Bubble Tea (Large Full Sugar)","450","Iced Green Tea (0% sugar) with Aloe Vera","80","370","1g","0g","0g","55g less sugar; green tea antioxidants; aloe vera adds texture without calories","Halal","KOI The","Multiple outlets","Halal","LiHO","Multiple outlets","Halal","DIY Green Tea with Aloe","5 min","1 green tea bag; 300ml hot water; ice; 50g aloe vera cubes (from can - rinse to remove syrup); optional: 1 tsp honey","Brew green tea 3 min; remove bag; let cool; pour over ice; rinse aloe vera cubes under water to remove syrup; add to drink; add 1 tsp honey if needed (still far less sugar than bubble tea)"
"Kopi (with condensed milk)","180","Kopi-O Kosong (black no sugar)","10","170","0g","0g","0g","Almost zero calories; no condensed milk (saves 15g sugar); same caffeine kick","Halal","Any kopitiam or hawker centre","Island-wide","Halal","Ya Kun Kaya Toast","Multiple outlets","Halal","Kopi-O Kosong","2 min","2 tbsp local roasted coffee powder (Nanyang style); hot water; kopi sock filter (or pour-over); no milk no sugar","Boil water; put coffee into sock/filter; pour water through twice for strong brew; serve black; if too bitter add tiny splash of evaporated milk (kopi-c-kosong) for 20kcal total"
"Milo Dinosaur","280","Milo Kosong (no sugar/condensed milk)","90","190","4g","2g","1g","Skip condensed milk and Milo powder topping; still chocolatey; far less sugar","Halal","Any kopitiam","Island-wide","Halal","Any hawker drinks stall","Island-wide","Halal","DIY Milo Kosong","2 min","2 tbsp Milo powder; 250ml hot water or warm low-fat milk; no sugar added","Mix Milo powder with hot water or low-fat milk; stir well; serve hot or iced; the natural malt gives enough sweetness without added sugar"
"Teh Tarik (pulled tea)","140","Teh-C Kosong (tea + evaporated milk no sugar)","60","80","2g","3g","0g","No condensed milk saves 10g sugar; evaporated milk still gives creamy texture; same tea taste","Halal","Any kopitiam or Malay food stall","Island-wide","Halal","Teh Tarik stalls at Adam Road Food Centre","Adam Road Food Centre, 2 Adam Road","Halal","Teh-C Kosong","2 min","1 tea bag or tea dust (local brand); 200ml hot water; 2 tbsp evaporated milk; no sugar","Brew tea strong in hot water 3 min; add evaporated milk; stir well; serve hot or pour over ice for iced version"
"Ice Kachang / Chendol","300","Fresh Fruit Bowl with Sago","150","150","2g","1g","3g","No syrup/gula melaka overload; fresh fruits provide natural sweetness; sago gives chewy texture without coconut milk","Halal","Mei Heong Yuen Dessert","67 Temple Street","Halal","Dessert Hut","Maxwell Food Centre","Halal","Fresh Fruit with Sago","10 min","100g sago pearls; 1 cup mixed fruits (mango watermelon honeydew); 100ml low-fat milk; 1 tsp honey; ice; mint leaves","Boil sago in water until translucent (8-10 min); rinse under cold water; cut fruits into cubes; assemble in bowl with sago and ice; drizzle low-fat milk and honey; garnish with mint"
"Goreng Pisang (Fried Banana 5pcs)","350","Grilled Banana with Peanut Butter","150","200","4g","8g","3g","No deep-frying batter; grilling caramelises natural sugars; peanut butter adds healthy fats","Halal","Any goreng pisang stall","Island-wide","Halal","Ramly Burger stalls (often have pisang)","Various pasar malam","Halal","Grilled Banana with PB","2 min","2 ripe bananas (halved lengthwise); 1 tbsp natural peanut butter; 1 tsp honey; pinch of cinnamon; sesame seeds","Halve bananas lengthwise; grill or pan-sear 2 min each side until caramelised; drizzle with peanut butter and honey; sprinkle cinnamon and sesame seeds"
"Chwee Kueh (with preserved radish)","220","Chwee Kueh (less chai poh topping + chilli)","180","40","3g","4g","1g","Ask for less preserved radish (high sodium); use more chilli for flavour; already a lighter hawker choice","Halal","Jian Bo Shui Kueh","Tiong Bahru Market, #02-05","Not Halal","Bedok Chwee Kueh","Blk 16 Bedok South, #01-187","Not Halal","Steamed Rice Cakes (Chwee Kueh)","15 min","1 cup rice flour; 1/2 cup tapioca flour; 2 cups water; pinch salt; preserved radish (chai poh) 3 tbsp; 2 cloves garlic; 1 tbsp canola oil; chilli sauce","Mix rice flour tapioca flour water and salt until smooth; pour into small oiled moulds; steam 15-20 min; fry chai poh with garlic in minimal oil; top each kueh with small amount of chai poh; serve with chilli"
"Otah (6 pieces grilled)","360","Otak-Otak (3 pieces) + Steamed Fish","280","80","28g","12g","1g","Half portion of otah + added steamed fish; still smoky flavour; more protein less coconut milk filler","Halal","328 Katong Laksa (sells otah)","51 East Coast Road","Not Halal","Kim Choo Kueh Chang (otah)","60 Joo Chiat Place","Not Halal","Grilled Fish + Mini Otah","10 min","200g fish fillet (ikan tenggiri/mackerel); 3 pieces store-bought otah; banana leaves; marinade: 1 tsp turmeric + 1 tbsp lemon juice + pinch salt; steamed rice","Marinate fish fillet with turmeric lemon salt; wrap in banana leaf or just grill on pan 5-6 min per side; grill otah in banana leaf wraps 5 min; serve with steamed rice and cucumber slices; 1.5 otah per person instead of 3"
"Nasi Padang (Rendang + Fried Chicken + Sayur)","850","Nasi Padang (Grilled Fish + Sayur Lodeh + Sambal)","500","350","30g","18g","3g","Grilled fish instead of fried chicken; sayur lodeh has less coconut milk than rendang; still flavourful Padang-style","Halal","Hjh Maimunah","11 & 15 Jalan Pisang","Halal","Warong Nasi Pariaman","738 North Bridge Road","Halal","Healthier Nasi Padang Combo","0 min","At the stall: choose grilled/panggang fish over fried; pick sayur lodeh (veg curry) or stir-fried long beans; 1 sambal egg; ask for less rice; skip bergedil (fried potato)","Point to grilled fish (ikan panggang) and say less rice; choose 1 veg curry + 1 stir-fried veg; skip fried items like bergedil tahu goreng; sambal on side; drink plain water"
"Chilli Crab with Mantou (2 buns)","750","Black Pepper Crab (no mantou)","480","270","35g","22g","0g","Skip the deep-fried mantou buns (saves 200 kcal); black pepper sauce is lighter than chilli-tomato; still indulgent but better","Halal","Mellben Signature","Blk 232 Ang Mo Kio Ave 3, #01-1222","Not Halal","No Signboard Seafood","414 Geylang Road","Not Halal","Black Pepper Crab (lighter ver)","10 min","1 whole mud crab (600g cleaned); 2 tbsp crushed black pepper; 3 cloves garlic; 30g butter (reduced from typical 60g); 1 tbsp oyster sauce; 1 tbsp dark soy; spring onion; serve with brown rice instead of mantou","Crack crab into pieces; heat butter in wok and fry garlic black pepper 1 min; add crab pieces stir-fry 5 min; add oyster sauce dark soy and splash of water; cover and cook 8 min; garnish spring onion; serve with brown rice"
"Pig Organ Soup (Kway Chap)","550","Sliced Pork Soup with Kway Teow (lean cuts)","350","200","25g","10g","1g","Choose lean cuts only (no intestines/skin); flat noodle soup base; skip braised fatty bits","Not Halal","Blk 335 Kway Chap","Blk 335 Smith St, Chinatown Complex, #02-127","Not Halal","Toa Payoh Kway Chap","Blk 93 Lorong 4, #01-38","Not Halal","Lean Pork Kway Teow Soup","5 min","200g lean pork loin (sliced thin); 200g kway teow; 800ml pork stock; 1 hard-boiled egg; tau kwa (firm tofu); chye sim; garlic; five-spice pinch; dark soy (dash)","Boil pork stock with garlic and five-spice; add lean pork slices 3 min; add tau kwa; cook kway teow separately; assemble in bowl with broth; add halved egg and chye sim; season with dark soy"
"Laksa (full coconut)","680","Mee Siam (Dry less gravy)","370","310","14g","10g","2g","No coconut milk; tamarind-based sauce is tangy not fatty; lighter noodles; still packs a flavour punch","Halal","Sungei Road Laksa (for laksa lovers)","27 Jalan Berseh, #01-100","Halal","Marine Parade Laksa","50 East Coast Road","Halal","Mee Siam (lighter)","15 min","200g bee hoon (soaked); sauce: 3 tbsp rempah (spice paste) + 2 tbsp tamarind juice + 1 tbsp sugar + 100ml water; toppings: hard-boiled egg + bean sprouts + tau pok slices + chives + lime; dried shrimp 1 tbsp","Fry rempah paste with dried shrimp until fragrant; add tamarind juice sugar and water; toss drained bee hoon in sauce; serve topped with sliced tau pok egg bean sprouts chives; squeeze lime"
"Sup Kambing (Mutton Soup with bread)","550","Sup Ayam (Chicken Soup with wholemeal bread)","320","230","25g","8g","3g","Chicken is leaner than mutton; wholemeal bread instead of white adds fibre; still warm and spiced","Halal","Kambing Soup stall","Tekka Centre, Little India","Halal","Adam Road Sup Kambing","Adam Road Food Centre","Halal","Healthier Chicken Soup (Sup Ayam)","10 min","2 chicken drumsticks (skinless); 1L water; 1 cinnamon stick; 2 star anise; 3 cloves; 1 onion; 2 potatoes (cubed); 1 carrot (cubed); 1 celery stalk; salt and pepper; fried shallots; 2 slices wholemeal bread","Boil water with spices and onion 5 min; add chicken and simmer 20 min; add potato and carrot last 10 min; remove chicken and shred meat off bone; return meat to pot; season with salt pepper; serve in bowl with celery and fried shallots; eat with wholemeal bread"
"Dim Sum (Har Gow + Siew Mai + Char Siew Bao = 6pcs)","480","Steamed Dim Sum (Crystal Dumplings + Chee Cheong Fun)","300","180","18g","8g","2g","Stick to steamed only; skip baked/fried items; chee cheong fun is very low cal; portion control","Not Halal","Swee Choon Tim Sum","183/185/187/189/191/193 Jalan Besar","Not Halal","Red Star Restaurant","54 Chin Swee Road","Not Halal","Lighter Dim Sum Set","0 min","Order at restaurant: 2 crystal shrimp dumplings + 2 steamed siew mai + 1 plate chee cheong fun; skip char siew bao and fried items; have Chinese tea (pu-erh) for digestion","Choose steamed over fried/baked; crystal dumplings are lighter than har gow; pick chee cheong fun (rice rolls) as a filler; drink Chinese tea; limit to 6-8 pieces total; skip sweet sauce go for light soy"
"Mee Pok Dry (with vinegar chilli)","440","Mee Pok Soup (less oil)","330","110","22g","8g","2g","Soup version eliminates chilli oil and vinegar dressing; still flavourful with lean pork and fishballs","Not Halal","Seng Kee Mushroom Minced Meat Noodle","Blk 253 Ang Mo Kio Ave 4, #01-02","Not Halal","Tai Hwa Pork Noodle (Bak Chor Mee)","Blk 466 Crawford Lane, #01-12","Not Halal","Mee Pok Soup","5 min","200g mee pok noodles; 80g lean pork mince; 6 fishballs; 800ml pork/ikan bilis stock; 1 tbsp fried shallots; chye sim; light soy; vinegar (1 tsp on side); white pepper","Boil stock; season pork mince with dash of soy and pepper; cook mee pok 1-2 min; form small pork meatballs or just drop mince into broth; add fishballs; add chye sim last; serve in bowl with broth and fried shallots; put vinegar on side"
"Ngoh Hiang (Five Spice Rolls 5pcs fried)","450","Steamed Ngoh Hiang (homemade less oil)","280","170","18g","12g","2g","Steaming instead of deep-frying; homemade allows control of fat content; beancurd skin still gives crunch when pan-seared lightly","Not Halal","House of Ngoh Hiang","Old Airport Road Food Centre, #01-07","Not Halal","Guan Chee Ngoh Hiang","96 Whampoa Drive, #01-59","Not Halal","Steamed Five-Spice Roll","20 min","200g lean pork mince; 100g prawns (chopped); 50g water chestnuts (diced); 1 tsp five-spice powder; 1 egg; 1 tbsp cornstarch; beancurd skin sheets; salt and pepper; sweet sauce for dipping","Mix pork prawns water chestnuts five-spice egg cornstarch salt pepper; lay beancurd skin flat; spread mixture along edge and roll up tightly; steam rolls 12-15 min; optional: lightly pan-sear after for crispiness; slice and serve with sweet sauce"
"Curry Puff (3 pieces)","440","Steamed Chicken Pau (2 pieces)","240","200","12g","6g","1g","Steamed vs deep-fried pastry; chicken filling is leaner; still savoury and portable","Not Halal","Old Chang Kee (if craving)","Multiple outlets","Not Halal","Tiong Bahru Pau","Tiong Bahru Market, #02-18","Not Halal","Steamed Chicken Pau","20 min","Dough: 2 cups pau flour + 1 tsp instant yeast + 2 tbsp sugar + 100ml warm water + 1 tbsp oil; Filling: 150g chicken breast (diced) + 1 tbsp oyster sauce + 1 tsp sesame oil + 50g bamboo shoots + spring onion","Make dough: mix flour yeast sugar water oil knead 5 min rest 30 min; make filling: dice chicken mix with oyster sauce sesame oil bamboo shoots; divide dough into 4; flatten wrap filling and pleat shut; steam on parchment 12-15 min"
"Iced Lemon Tea (sweetened hawker)","180","Iced Barley Water (less sugar homemade)","60","120","1g","0g","1g","Barley is naturally sweet; homemade allows minimal sugar; cooling and good for digestion","Halal","Any drinks stall","Island-wide","Halal","Various hawker centres","Island-wide","Halal","Homemade Barley Water","5 min","100g pearl barley; 1.5L water; 2 pandan leaves; 1 tbsp rock sugar (or less); optional: soy milk splash","Rinse barley well; boil in water with pandan leaves 40-45 min until soft; add rock sugar last 5 min (use half of what recipes say); cool and refrigerate; serve cold; barley grains are edible and nutritious"
"Sugarcane Juice (large)","200","Coconut Water (fresh young coconut)","60","140","1g","0g","0g","Natural electrolytes; no added sugar; only 60 kcal per coconut; very hydrating","Halal","Any sugarcane juice stall","Island-wide","Halal","Old Airport Road drinks stalls","Old Airport Road Food Centre","Halal","Fresh Coconut Water","0 min","Buy 1 fresh young coconut from fruit stall; ask them to chop open; drink water straight; scoop flesh for bonus fibre","Buy from wet market or supermarket; drink directly; coconut water has natural potassium and electrolytes; no processing needed"
