Original Dish,Calories (Original),Healthier Alternative,Calories (Alternative),Calories Saved,Protein (Alt),Fat (Alt),Fibre (Alt),Why It's Better,Hawker Stall 1,Location 1,Hawker Stall 2,Location 2,Hawker Stall 3,Location 3,Recipe Name,Servings,Prep Time,Cook Time,Ingredients,Steps,Ingredient 1 (Buy),Where to Buy 1,Price 1,Ingredient 2 (Buy),Where to Buy 2,Price 2,Ingredient 3 (Buy),Where to Buy 3,Price 3,Ingredient 4 (Buy),Where to Buy 4,Price 4,Halal Status,Stall 1 Halal,Stall 2 Halal,Stall 3 Halal
Roasted Chicken Rice,607,Steamed Chicken Breast on Brown Rice,390,217,38g,6g,4g,Steaming removes all oil; skinless breast saves ~120 kcal; brown rice adds 3.5g fibre,Tian Tian Hainanese Chicken Rice (ask for steamed),"Maxwell Food Centre, #01-10, 1 Kadayanallur St",Ah Tai Hainanese Chicken Rice,"Maxwell Food Centre, #01-07",Boon Tong Kee (steamed option),399/401 Balestier Road,Healthier Hainanese Chicken Rice,2,15 min,35 min,2 boneless skinless chicken breasts (300g); 1 cup brown rice; 3 slices ginger; 2 stalks spring onion; 2 pandan leaves; 1 tbsp sesame oil; 2 cloves garlic; 500ml low-sodium chicken stock; cucumber slices; coriander,Poach chicken in stock with ginger/pandan 20 min; toast brown rice with garlic then cook in broth; slice chicken and serve over rice with cucumber; make ginger-scallion sauce,"Brown rice (FairPrice Thai Brown Unpolished, 2.5kg)",NTUC FairPrice / FairPrice Online,~$6.00,Skinless chicken breast (chilled),"NTUC FairPrice, Sheng Siong, Cold Storage",~$4.50/pack,Low-sodium chicken stock,"FairPrice (Swanson brand), Cold Storage",~$3.50,"Fresh ginger, pandan leaves","Any wet market (Tekka Market, Geylang Serai Market)",~$1.00,Halal,Not Halal,Not Halal,Not Halal
Char Kway Teow,740,Kway Teow Soup with Fish Slices & Veg,320,420,28g,6g,2g,Soup-based eliminates lard and dark sauces; fish provides omega-3; almost 60% fewer calories,First Street Teochew Fish Soup,"Bukit Merah Central Food Centre, #01-81",Blanco Court Fish Soup,"Blk 243 Simei St 5, Hawker Centre",Han Jiang Fish Soup,"Bedok Food Centre, #01-23",Kway Teow Fish Soup,2,10 min,15 min,200g flat rice noodles; 250g fresh batang fillet sliced; 1L water/fish stock; 1 tomato; 1 cup kangkong; 2 slices ginger; 1 tbsp fried shallots; white pepper; 1 tsp light soy; 1 tbsp evaporated milk (optional),Boil water with ginger and tomato 5 min; add noodles 2 min; slide in fish slices 2-3 min; add kangkong last 30 sec; season with soy and white pepper; garnish with fried shallots,Fresh kway teow noodles,"Any wet market noodle stall, FairPrice (chilled section)",~$1.20,Fresh batang fish fillet,"Tekka Market, Tiong Bahru Market, Sheng Siong",~$6.00/300g,Kangkong (water spinach),Any wet market or supermarket,~$1.00/bunch,Fried shallots,NTUC FairPrice (cooking aisle),~$2.50,Not Halal,Not Halal,Not Halal,Not Halal
Nasi Lemak with Fried Chicken Wing,640,Thunder Tea Rice (Lei Cha Fan),280,360,12g,8g,7g,Plant-based meal with 6+ vegetables; brown rice base; tea paste full of antioxidants,Hakka Leipopo Lei Cha,"Lau Pa Sat, 18 Raffles Quay, #01-K4",Thunder Tea Rice stall,"Anchorvale Village Hawker Centre, Sengkang",Hakka Rice at Margaret Drive,"Margaret Drive Hawker Centre, #02-30",Thunder Tea Rice (Lei Cha Fan),2,20 min,15 min,1.5 cups cooked brown rice; 1 cup kangkong; 1 cup chye sim; 1/2 cup long beans; 1/4 cup dried shrimp; 2 tbsp peanuts; 1 block firm tofu; tea paste (50g green tea leaves 20g basil 10g mint 2 tbsp sesame seeds); 500ml hot water,Pound tea paste with mortar; blanch vegetables 1 min; stir-fry long beans 2 min; dry-fry tofu until golden; assemble rice with toppings; pour warm tea broth over,Green tea leaves (lei cha powder),"Sheng Siong (Asian groceries), Scarlett Supermarket",~$3.50,Brown rice (FairPrice Thai Brown),"NTUC FairPrice, Giant",~$6.00/2.5kg,"Fresh kangkong, chye sim, long beans","Tekka Market, Geylang Serai Market, any wet market",~$1-2/bunch,Firm tofu,"NTUC FairPrice, Sheng Siong",~$1.50/block,Halal,Not Halal,Not Halal,Not Halal
Curry Laksa,680,Sliced Fish Soup with Bee Hoon,290,390,30g,5g,2g,Clear broth instead of coconut milk cuts 30g fat; fish provides omega-3; bee hoon is lighter,First Street Teochew Fish Soup,"Bukit Merah Central Food Centre, #01-81",T.G. Fish Porridge & Soup,"Amoy Street Food Centre, #02-100",Whampoa 87 Fish Soup,"Blk 91 Whampoa Drive, #01-38",Teochew-style Sliced Fish Soup,2,10 min,12 min,200g fresh batang/garoupa fillet sliced thin; 100g bee hoon; 1L water; 2 slices ginger; 1 tomato wedges; 1 cup napa cabbage; 2 stalks Chinese celery; 1 tsp sesame oil; white pepper; fried garlic,Soak bee hoon 5 min; boil water with ginger and tomato; add cabbage 2 min; slide in fish 2 min; season with sesame oil and pepper; serve over bee hoon with celery and garlic,Fresh batang/garoupa fillet,"Tekka Market, Chinatown Complex wet market",~$6-8/300g,Rice vermicelli (bee hoon),"NTUC FairPrice, Sheng Siong",~$1.50/pack,"Chinese celery, napa cabbage",Any wet market or supermarket,~$1-2,Sesame oil,NTUC FairPrice (Yeo's or FairPrice brand),~$3.00,Halal,Not Halal,Not Halal,Not Halal
Roti Prata (2 pieces) with Curry,520,Chapati with Dhal & Vegetables,260,260,14g,6g,8g,Chapati uses no lard/ghee; dhal adds plant protein and fibre; 3x more vitamins,Springleaf Prata Place (chapati option),1 Thong Soon Ave,Mr & Mrs Mohgan's Super Crispy Prata,"Thasevi Food, 237 Jalan Kayu",Al-Azhar Eating Restaurant (chapati with dhal),11 Cheong Chin Nam Road,Wholemeal Chapati with Lentil Dhal,2,15 min,20 min,1 cup wholemeal atta flour; 1/2 cup warm water; pinch salt; 1/2 cup red lentils; 2 cups water; 1 tomato; 1/2 onion; 1 tsp cumin seeds; 1/2 tsp turmeric; 1 clove garlic; coriander; 1 tsp olive oil,Knead chapati dough rest 10 min; boil lentils with turmeric 12 min; temper cumin in oil add onion garlic tomato; mix into lentils; roll and dry-roast chapati; serve together,Wholemeal atta flour,"NTUC FairPrice (Pillsbury/FairPrice brand), Mustafa Centre",~$2.80/1kg,Red lentils (masoor dal),"Mustafa Centre, FairPrice, Sheng Siong",~$3.50/500g,"Cumin seeds, turmeric powder","Mustafa Centre (cheapest), any supermarket",~$2-3,Olive oil (healthier cooking),"NTUC FairPrice, Cold Storage",~$7-10,Halal,Halal,Halal,Halal
Yong Tau Foo (Fried with Laksa gravy),550,Yong Tau Foo (Soup with fresh picks),300,250,22g,8g,5g,Clear soup cuts 200+ kcal vs laksa gravy; fresh ingredients over processed; tofu adds plant protein,Gem Fresh Yong Tau Foo,"Bugis Cube, #01-K1, 470 North Bridge Rd",Orchard Yong Tau Foo,"Far East Plaza, 14 Scotts Rd, #05-121",Fu Lin Fried Yong Tau Foo (soup option),721 East Coast Road,Healthy Yong Tau Foo (Soup Base),2,10 min,10 min,6 pieces fresh veg (bitter gourd ladies finger eggplant chilli); 100g firm tofu; 2 pieces tau kee; 1 bunch kangkong; 100g wholegrain bee hoon; 1L ikan bilis stock; fish paste (100g minced fish 1 tsp cornflour pepper); soy sauce and chilli,Stuff fish paste into vegetables; boil ikan bilis stock; add stuffed veg and tofu 5 min; add greens last minute; cook bee hoon separately; serve with light soy and chilli,Fresh fish paste (ready-made),"Any wet market fishmonger, NTUC FairPrice (chilled)",~$3-4,"Firm tofu, tau kee","NTUC FairPrice, Sheng Siong, any wet market",~$1-2/pack,Wholegrain bee hoon,NTUC FairPrice (Healthier Choice section),~$2.00,"Bitter gourd, ladies finger, eggplant","Tekka Market, Geylang Serai Market",~$1-2 each,Halal,Not Halal,Not Halal,Not Halal
Indian Mee Goreng,660,Mee Soto (Chicken Noodle Soup),350,310,24g,10g,2g,Soup-based with light turmeric broth; shredded chicken is lean; ask for bee hoon to cut more calories,Inspirasi stall (Mee Soto Ayam),"Adam Road Food Centre, #01-31",Haji M. Abdul Rajak,"Haig Road Market & Food Centre, #01-14",Selera Rasa Nasi Lemak (mee soto option),Adam Road Food Centre,Mee Soto Ayam (Turmeric Chicken Soup),2,10 min,25 min,200g skinless chicken thigh (bone-in); 100g bee hoon; 1L water; 1 stalk lemongrass; 1/2 tsp turmeric; 2 shallots; 1 clove garlic; bean sprouts; fried shallots; Chinese celery; lime; 1 tsp canola oil,Saute shallots and garlic in canola oil; add water lemongrass turmeric boil; simmer chicken 20 min then shred; cook bee hoon in broth 2 min; assemble with bean sprouts; garnish with fried shallots celery lime,Skinless chicken thigh (bone-in),"NTUC FairPrice, Sheng Siong (fresh poultry)",~$4.00/pack,Rice vermicelli (bee hoon),"NTUC FairPrice, Sheng Siong, Giant",~$1.50,"Lemongrass, turmeric, shallots","Any wet market (Tekka, Geylang Serai), supermarket",~$1-2,Canola oil (Healthier Choice),NTUC FairPrice (Healthier Choice Symbol section),~$6.00,Halal,Halal,Halal,Halal
Hokkien Mee,522,Prawn Soup Bee Hoon,280,242,22g,6g,1g,Clear prawn broth replaces heavy lard-fried noodles; fresh prawns provide lean protein; much lower sodium,Beach Road Prawn Mee (soup option),"370 East Coast Road, Singapore",Blk 84 Marine Parade Prawn Mee,"Blk 84 Marine Parade Central, #01-197",545 Whampoa Prawn Noodles,"Blk 556 Balestier Road, #01-70",Prawn Soup Bee Hoon,2,10 min,15 min,200g fresh prawns (shell-on for stock); 100g bee hoon; 1L water; 2 cloves garlic; 1 tbsp dried shrimp; kangkong; bean sprouts; white pepper; 1 tsp canola oil,Fry prawn shells and dried shrimp in oil until fragrant; add water and simmer 10 min to make stock; strain broth; cook bee hoon 2 min; poach fresh prawns in broth 3 min; serve with kangkong and bean sprouts,Fresh prawns (shell-on),"Tekka Market, any wet market fishmonger",~$8/300g,Rice vermicelli (bee hoon),"NTUC FairPrice, Sheng Siong",~$1.50,Dried shrimp,NTUC FairPrice (dried goods),~$3.00,"Kangkong, bean sprouts",Any wet market or supermarket,~$1-2,Not Halal,Not Halal,Not Halal,Not Halal
Bak Chor Mee (Dry),510,Ban Mian Soup (Fish/Egg),380,130,22g,10g,3g,Soup base means less vinegar/lard dressing; hand-pulled noodles have no alkaline; egg adds protein without deep-frying,Grandma Ban Mee,"Amoy Street Food Centre, #01-07",L32 Handmade Noodles,"Blk 1 Geylang Lorong 32, Singapore",Jian Bo Shui Kueh (next door ban mian),"Tiong Bahru Market, #02-05",Ban Mian Soup with Egg,2,10 min,15 min,200g ban mian noodles (fresh); 1L ikan bilis stock; 1 egg per bowl; 100g minced pork (lean); 1 cup sayur manis (sweet leaf); 2 slices ginger; light soy sauce; fried ikan bilis topping,Boil ikan bilis stock with ginger; add ban mian noodles cook 3-4 min; push aside and crack egg in broth to poach; add sayur manis leaves last minute; season with light soy; top with fried ikan bilis,Fresh ban mian noodles,"Any wet market noodle stall, NTUC FairPrice (chilled)",~$1.50,Lean minced pork,"NTUC FairPrice, Sheng Siong",~$3.50/pack,Sayur manis (sweet leaf),Wet market vegetable stall,~$1.50,Ikan bilis (dried anchovies),"NTUC FairPrice, Sheng Siong",~$4.00/pack,Not Halal,Not Halal,Not Halal,Not Halal
Wanton Mee (Dry with Char Siew),430,Wanton Noodle Soup (Lean),350,80,25g,8g,2g,Soup version has no lard/oil dressing; lean char siew has less saturated fat; still gets the wanton flavour,Kok Kee Wanton Mee,"Lavender Food Square, 380 Jalan Besar",Eng's Wantan Noodle,287 Tanjong Katong Road,Pontian Wanton Noodles,Multiple outlets island-wide,Wanton Noodle Soup (Healthier),2,15 min,10 min,200g wanton noodles; 8 wanton skins; 100g lean pork mince; 1 tsp sesame oil; 1L chicken stock; chye sim; light soy; white pepper; dash of oyster sauce,Mix lean pork with sesame oil and pepper to make wanton filling; wrap in wanton skins; boil chicken stock; cook noodles 1 min; poach wantons 3 min; add chye sim; season broth with light soy and oyster sauce,Fresh wanton noodles,"Any wet market noodle stall, NTUC FairPrice",~$1.50,Wanton skins,"NTUC FairPrice, Sheng Siong (chilled/frozen)",~$1.80,Lean pork mince,"NTUC FairPrice, Sheng Siong",~$3.50/pack,Chye sim (Chinese mustard greens),Any wet market or supermarket,~$1.00,Not Halal,Not Halal,Not Halal,Not Halal
Duck Rice (Braised),580,Soya Sauce Chicken with Brown Rice (no skin),400,180,35g,10g,3g,Removing skin cuts saturated fat; braised soy sauce chicken is leaner than duck; brown rice adds fibre,Sin Kee Famous Chicken Rice,"Margaret Drive Hawker Centre, #02-38",Liao Fan Soya Sauce Chicken,"Chinatown Complex, #02-126",Ah Five Hainanese Chicken Rice (soya option),"Clementi 448 Market, #01-18",Soya Sauce Chicken Brown Rice,2,5 min,30 min,2 chicken leg quarters (skin removed); 1 cup brown rice; 100ml dark soy sauce; 50ml light soy; 2 tbsp rock sugar; 1 star anise; 1 cinnamon stick; 3 slices ginger; 500ml water; hard-boiled egg; cucumber,Simmer soy sauces with sugar spices and water 5 min; add skinless chicken pieces and braise 25 min on low; cook brown rice separately; slice chicken and serve over rice with braising sauce (use sparingly); add egg and cucumber,Brown rice,"NTUC FairPrice, Sheng Siong",~$6.00/2.5kg,Chicken leg quarters (fresh),"NTUC FairPrice, Sheng Siong",~$5.00/pack,"Dark soy sauce, light soy sauce",NTUC FairPrice (Kwong Cheong Thye brand),~$3.00,"Star anise, cinnamon stick","NTUC FairPrice, Mustafa Centre",~$2.00,Not Halal,Not Halal,Not Halal,Not Halal
Economy Rice / Cai Fan (typical 2 meat 1 veg),700,Economy Rice (1 steamed meat + 2 veg + less rice),420,280,28g,12g,5g,Ask for less rice (saves 150 kcal); choose steamed/braised over fried; double up on leafy greens,Heng Hwa Economy Rice,"Bukit Merah View Food Centre, #01-44",Tian Tian Lai Mixed Vegetable Rice,"Beo Crescent Market, #01-20",Any HDB economy rice stall with HPB Healthier Choice logo,Island-wide (60+ hawker centres),Healthier Cai Fan Combo,1,0 min,0 min,Ask at stall: 1 steamed fish/tofu; 2 portions leafy veg (chye sim + long beans); less white rice or brown rice if available; skip gravy,Choose steamed egg or tofu over deep-fried meat; pick dark leafy veg over starchy items; ask for less rice or swap to brown; say no to gravy/curry on top; pair with clear soup if available,N/A - buy at hawker stall,Economy rice stalls island-wide,$3-4 per plate,Brown rice (if cooking at home),"NTUC FairPrice, Sheng Siong",~$6.00/2.5kg,Steamed fish (if cooking),"Wet market fishmonger, NTUC FairPrice",~$5-7,Leafy vegetables,"Any wet market, supermarket",~$1-2/bunch,Halal,Not Halal,Not Halal,Not Halal
Lor Mee (Braised Noodles),580,Ipoh Hor Fun (Soup),380,200,20g,8g,2g,Clear broth vs thick starchy gravy; much lower sodium; flat noodles are lighter,Li Xin Teochew Fishball Noodle,"Chinatown Complex, #02-52",Amoy St Hor Fun,"Amoy Street Food Centre, #02-79",78 Ipoh Hor Fun,"Blk 78 Telok Blangah Drive, #01-20",Ipoh Hor Fun with Chicken,2,5 min,15 min,200g fresh hor fun (flat rice noodles); 150g chicken breast (shredded); 800ml chicken stock; 1 cup bean sprouts; spring onion; light soy sauce; white pepper; sesame oil dash,Poach chicken breast in stock 15 min; shred chicken; blanch hor fun in hot water 30 sec; blanch bean sprouts; assemble in bowl with broth; top with chicken spring onion; season with soy pepper sesame oil,Fresh hor fun noodles,"Any wet market noodle stall, FairPrice chilled section",~$1.50,Chicken breast,"NTUC FairPrice, Sheng Siong, Cold Storage",~$4.50,Bean sprouts,Any wet market or supermarket,~$0.80,Light soy sauce,NTUC FairPrice,~$2.00,Not Halal,Not Halal,Not Halal,Not Halal
Prawn Mee (Fried),580,Prawn Mee Soup (clear broth),380,200,25g,10g,1g,Soup version has no frying; rich prawn broth keeps flavour; less oil and sodium,545 Whampoa Prawn Noodles,"Blk 556 Balestier Road, #01-70",Beach Road Prawn Mee,370 East Coast Road,Blk 84 Marine Parade Prawn Mee,"Blk 84 Marine Parade Central, #01-197",Prawn Noodle Soup,2,15 min,20 min,300g fresh prawns (shell-on); 100g bee hoon + 100g yellow noodles; 1L water; 2 cloves garlic; rock sugar pinch; kangkong; bean sprouts; sambal on side; pork ribs (100g optional),Fry prawn heads/shells until red and fragrant; add water boil 15 min strain; add rock sugar for sweetness; cook noodles separately; poach fresh prawns 3 min; serve in bowl with kangkong bean sprouts and sambal on side,Fresh prawns (medium),"Tekka Market, NTUC FairPrice (seafood section)",~$8/300g,Bee hoon + yellow noodles,"NTUC FairPrice, any wet market noodle stall",~$1.50 each,Kangkong + bean sprouts,Any wet market,~$1.50,Rock sugar,NTUC FairPrice (baking section),~$2.00,Not Halal,Not Halal,Not Halal,Not Halal
Murtabak (Mutton),674,Chicken Shawarma Wrap (homemade),380,294,30g,14g,3g,Grilled chicken vs fried dough; whole wheat wrap adds fibre; yoghurt sauce instead of oil,Zam Zam Restaurant,697-699 North Bridge Road,Victory Restaurant,701 North Bridge Road,Singapore Zam Zam (newer outlet),Various locations,Healthier Chicken Shawarma Wrap,2,15 min,12 min,2 chicken breasts sliced thin; 2 wholemeal tortillas; 1 cup mixed salad; 1 tomato sliced; 1/2 cucumber sliced; Greek yoghurt (3 tbsp); 1 tsp cumin; 1 tsp paprika; 1/2 tsp turmeric; lemon juice; garlic,Marinate chicken with cumin paprika turmeric garlic and lemon 10 min; grill or pan-fry chicken with minimal oil 5-6 min; warm wholemeal tortillas; spread yoghurt sauce (yoghurt+garlic+lemon); layer chicken salad tomato cucumber; roll up tightly,Chicken breast,"NTUC FairPrice, Sheng Siong",~$4.50,Wholemeal tortilla wraps,"Cold Storage, FairPrice (bread section)",~$5.00/pack,Greek yoghurt,"NTUC FairPrice, Cold Storage",~$4.50,"Cumin, paprika, turmeric","Mustafa Centre, any supermarket",~$2-3,Halal,Halal,Halal,Halal
