Cuisine,Dish,Calories,Why Healthy,Tips,Restaurant/Stall,Location
Chinese / Local Singaporean,Sliced Fish Soup (Hor Fun / Bee Hoon),~212 kcal,Low fat; high protein; light broth-based dish with fresh vegetables,Ask for bee hoon instead of hor fun. Skip the fried fish option.,T.G. Fish Porridge,Various hawker centres
Chinese / Local Singaporean,Sliced Fish Soup (Hor Fun / Bee Hoon),~212 kcal,Low fat; high protein; light broth-based dish with fresh vegetables,Ask for bee hoon instead of hor fun. Skip the fried fish option.,Beach Road Fish Head Bee Hoon,Whampoa Makan Place
Chinese / Local Singaporean,Sliced Fish Soup (Hor Fun / Bee Hoon),~212 kcal,Low fat; high protein; light broth-based dish with fresh vegetables,Ask for bee hoon instead of hor fun. Skip the fried fish option.,Whampoa 87 Fish Soup,Whampoa Drive Block 87
Chinese / Local Singaporean,Yong Tau Foo (Clear Soup),~297 kcal,Customizable - load up on vegetables and tofu. Clear soup base is low in fat.,Choose clear soup over curry/laksa broth. Pick tofu and leafy greens. Avoid fried items.,Hakka Fun HamCha & Yong Tou Fu,Chinatown
Chinese / Local Singaporean,Yong Tau Foo (Clear Soup),~297 kcal,Customizable - load up on vegetables and tofu. Clear soup base is low in fat.,Choose clear soup over curry/laksa broth. Pick tofu and leafy greens. Avoid fried items.,Most hawker centres,Island-wide
Chinese / Local Singaporean,Teochew Porridge with Steamed Fish & Vegetables,~350-400 kcal,Light; easy to digest; can pair with steamed dishes and greens,Choose steamed fish and leafy vegetables as sides. Avoid fried and preserved items.,Teochew porridge stalls,Most hawker centres island-wide
Chinese / Local Singaporean,Thunder Tea Rice (Lei Cha Fan),~350 kcal,Packed with vegetables; tofu; and green tea soup. High fibre; plant-based.,A naturally healthy Hakka dish. Opt for brown rice if available.,Koufu food courts,Various locations
Chinese / Local Singaporean,Thunder Tea Rice (Lei Cha Fan),~350 kcal,Packed with vegetables; tofu; and green tea soup. High fibre; plant-based.,A naturally healthy Hakka dish. Opt for brown rice if available.,Hakka stalls,Chinatown Complex / Old Airport Road
Chinese / Local Singaporean,Steamed Chicken Rice (no skin),~450 kcal (skin removed),Choose steamed over roasted. Remove skin to cut fat significantly.,Ask for less rice and extra cucumber. Choose breast meat.,Tian Tian Chicken Rice,Maxwell Food Centre
Chinese / Local Singaporean,Steamed Chicken Rice (no skin),~450 kcal (skin removed),Choose steamed over roasted. Remove skin to cut fat significantly.,Ask for less rice and extra cucumber. Choose breast meat.,Boon Tong Kee,Multiple outlets
Chinese / Local Singaporean,Popiah (Fresh Spring Rolls),~150-170 kcal per roll,Fresh (not fried); filled with vegetables like turnip and beansprouts.,Choose fresh popiah over fried spring rolls. Ask for less sweet sauce.,Kway Guan Huat Popiah,Joo Chiat
Chinese / Local Singaporean,Chinese Herbal Tonic Soup,~100-200 kcal,Nourishing soups with goji berries; red dates; and herbs. Low fat.,Watercress or lotus root soup are great options. Don't finish all broth (sodium).,Herbal soup stalls,Chinatown Complex / Tiong Bahru Market
Malay / Nasi Padang,Mee Soto,~300 kcal,Light turmeric-based broth with noodles; chicken; and beansprouts. Lower fat.,Skip fried shallots and limit sambal. Choose yellow noodles over fried noodles.,Malay food stalls,Geylang Serai Market / Adam Road Food Centre
Malay / Nasi Padang,Soto Ayam (Chicken Soup),~280 kcal,Spiced chicken broth with vegetables and rice cakes. Light and nourishing.,Limit fried toppings. Choose vermicelli over lontong for fewer carbs.,Geylang Serai hawker stalls,Geylang Serai Market
Malay / Nasi Padang,Grilled Satay (Chicken - 5 sticks),~250 kcal (without rice cake),Grilled lean protein. Healthier than fried options when portion-controlled.,Choose chicken over mutton. Limit peanut sauce. Skip ketupat or have just one.,Lau Pa Sat Satay Street,18 Raffles Quay
Malay / Nasi Padang,Grilled Satay (Chicken - 5 sticks),~250 kcal (without rice cake),Grilled lean protein. Healthier than fried options when portion-controlled.,Choose chicken over mutton. Limit peanut sauce. Skip ketupat or have just one.,Chomp Chomp Food Centre,20 Kensington Park Rd
Malay / Nasi Padang,Gado-Gado,~320 kcal,Indonesian/Malay salad with blanched vegetables; tofu; and peanut dressing.,Request less peanut sauce to reduce calories. Rich in fibre and plant protein.,Warung Nasi Pariaman,738 North Bridge Rd
Malay / Nasi Padang,Nasi Padang (Healthier Selection),~450-550 kcal,Choose grilled fish; sayur lodeh; and limit coconut-rich dishes.,Pick grilled ayam panggang instead of rendang. Avoid deep-fried items.,Hjh Maimunah,11 Jalan Pisang
Malay / Nasi Padang,Nasi Padang (Healthier Selection),~450-550 kcal,Choose grilled fish; sayur lodeh; and limit coconut-rich dishes.,Pick grilled ayam panggang instead of rendang. Avoid deep-fried items.,Selera Rasa Nasi Lemak,Adam Road Food Centre
Indian,Plain Thosai with Dhal Curry,~250-300 kcal,Fermented crepe from rice and lentil batter. Dhal is high protein; low fat.,Choose plain thosai over masala. Pair with dhal or fish curry (no coconut milk).,Ananda Bhavan,Multiple outlets (Little India / Serangoon)
Indian,Plain Thosai with Dhal Curry,~250-300 kcal,Fermented crepe from rice and lentil batter. Dhal is high protein; low fat.,Choose plain thosai over masala. Pair with dhal or fish curry (no coconut milk).,Komala Vilas,76-78 Serangoon Rd
Indian,Tandoori Chicken (without skin),~250 kcal,Grilled in clay oven without oil. Yogurt-marinated lean protein.,Remove the skin. Pair with raita instead of butter-based curries.,Zam Zam Restaurant,697 North Bridge Rd
Indian,Tandoori Chicken (without skin),~250 kcal,Grilled in clay oven without oil. Yogurt-marinated lean protein.,Remove the skin. Pair with raita instead of butter-based curries.,Bismillah Biryani,50 Dunlop St
Indian,Vegetarian Biryani,~380 kcal,Spiced rice with vegetables. Lower in fat than meat biryani with rich gravies.,Choose vegetable biryani over mutton. Ask for less oil. Pair with raita.,Ananda Bhavan,Multiple branches island-wide
Indian,Vegetarian Biryani,~380 kcal,Spiced rice with vegetables. Lower in fat than meat biryani with rich gravies.,Choose vegetable biryani over mutton. Ask for less oil. Pair with raita.,MTR Singapore,438 Serangoon Road
Indian,Idli with Sambar,~150-200 kcal,Steamed rice cakes - no oil used. Sambar is a nutritious lentil-based soup.,A naturally healthy breakfast option. Light; easy to digest; and filling.,Saravana Bhavan,Multiple outlets
Indian,Idli with Sambar,~150-200 kcal,Steamed rice cakes - no oil used. Sambar is a nutritious lentil-based soup.,A naturally healthy breakfast option. Light; easy to digest; and filling.,Komala Vilas,76-78 Serangoon Rd
Indian,Chapati with Vegetable Curry,~300 kcal,Whole wheat flatbread with less oil than prata. Vegetable curry adds fibre.,Choose chapati over prata (much less oil). Pair with dhal or dry vegetable curry.,Indian hawker stalls,Tekka Centre / Little India
Indian,Chapati with Vegetable Curry,~300 kcal,Whole wheat flatbread with less oil than prata. Vegetable curry adds fibre.,Choose chapati over prata (much less oil). Pair with dhal or dry vegetable curry.,Al-Ameen Eating House,Opposite Mustafa Centre
Japanese,Sashimi Set,~200-300 kcal,Raw fish is high in omega-3; protein; with zero added fat from cooking.,Limit soy sauce (sodium). Choose salmon; tuna; or yellowtail for best omega-3.,Sushi Express,Multiple outlets island-wide
Japanese,Sashimi Set,~200-300 kcal,Raw fish is high in omega-3; protein; with zero added fat from cooking.,Limit soy sauce (sodium). Choose salmon; tuna; or yellowtail for best omega-3.,Genki Sushi,Multiple outlets
Japanese,Chirashi Don,~400-450 kcal,Assorted fresh fish over rice. High protein; rich in omega-3 fatty acids.,Ask for less rice or brown rice if available. Great protein-to-calorie ratio.,Sushiro,Multiple outlets
Japanese,Chirashi Don,~400-450 kcal,Assorted fresh fish over rice. High protein; rich in omega-3 fatty acids.,Ask for less rice or brown rice if available. Great protein-to-calorie ratio.,Standing Sushi Bar,8 Queen Street
Japanese,Grilled Fish Set (Yakizakana),~350-400 kcal,Grilled fish with rice; miso soup; and pickles. Balanced macronutrients.,Choose mackerel (saba) or salmon for omega-3. A well-balanced set meal.,Nakajima Suisan Grilled Fish,100AM Tanjong Pagar
Japanese,Grilled Fish Set (Yakizakana),~350-400 kcal,Grilled fish with rice; miso soup; and pickles. Balanced macronutrients.,Choose mackerel (saba) or salmon for omega-3. A well-balanced set meal.,Ootoya,Multiple outlets
Japanese,Soba Noodles (Cold/Hot),~300-350 kcal,Buckwheat noodles with more fibre and protein than regular wheat noodles.,Choose zaru soba (cold) for fewer calories. Tempura on the side adds calories.,Soba Ichi,Duxton Hill
Japanese,Soba Noodles (Cold/Hot),~300-350 kcal,Buckwheat noodles with more fibre and protein than regular wheat noodles.,Choose zaru soba (cold) for fewer calories. Tempura on the side adds calories.,Fumizen,Guoco Tower
Japanese,Miso Soup with Tofu,~50-70 kcal,Fermented soy base with probiotics. Low calorie; warming; and satisfying.,Great starter to reduce overall meal intake. Contains beneficial probiotics.,Most Japanese restaurants,Island-wide
Korean,Samgyetang (Ginseng Chicken Soup),~400 kcal,Whole chicken stuffed with rice; ginseng; and jujubes in clear broth. Low fat.,A traditional Korean health food. Light broth without heavy oils or spice.,JIHO Samgyetang SBCD,Tanjong Pagar
Korean,Samgyetang (Ginseng Chicken Soup),~400 kcal,Whole chicken stuffed with rice; ginseng; and jujubes in clear broth. Low fat.,A traditional Korean health food. Light broth without heavy oils or spice.,Hanwoori Korean Restaurant,207 Telok Ayer St
Korean,Bibimbap,~450 kcal,Mixed rice bowl with various vegetables; egg; and lean protein. Well-balanced.,Go easy on gochujang and sesame oil. Load up on vegetables.,Baro Baro,Multiple outlets
Korean,Bibimbap,~450 kcal,Mixed rice bowl with various vegetables; egg; and lean protein. Well-balanced.,Go easy on gochujang and sesame oil. Load up on vegetables.,Seoul Garden,Multiple outlets
Korean,Kimchi Jjigae (Kimchi Stew),~300 kcal,Fermented kimchi provides probiotics. Tofu version is lower in fat.,Choose tofu-based over pork belly version. Kimchi offers probiotics for gut health.,SOT Korean Restaurant,Telok Ayer
Korean,Kimchi Jjigae (Kimchi Stew),~300 kcal,Fermented kimchi provides probiotics. Tofu version is lower in fat.,Choose tofu-based over pork belly version. Kimchi offers probiotics for gut health.,Kim Dae Mun,226H Tanjong Katong Rd
Korean,Japchae (Glass Noodles),~250 kcal,Sweet potato noodles stir-fried with vegetables and lean meat. Gluten-free.,Rich in vegetables. Sweet potato noodles are lighter than wheat noodles.,Most Korean restaurants,Tanjong Pagar Korean town
Thai,Tom Yum Soup (Clear - Nam Sai),~150-200 kcal,Spicy and sour clear broth with shrimp; mushrooms; and lemongrass. Low fat.,Choose Tom Yum Nam Sai (clear) over Nam Khon (creamy). Loaded with herbs.,Nakhon Kitchen,Multiple outlets
Thai,Tom Yum Soup (Clear - Nam Sai),~150-200 kcal,Spicy and sour clear broth with shrimp; mushrooms; and lemongrass. Low fat.,Choose Tom Yum Nam Sai (clear) over Nam Khon (creamy). Loaded with herbs.,Sakon Thai,Orchard/Novena areas
Thai,Som Tum (Green Papaya Salad),~150 kcal,Fresh raw vegetables with a tangy dressing. High fibre; low calorie.,Ask for less sugar in the dressing. A refreshing and light starter.,Soi Aroy,Golden Mile Complex
Thai,Som Tum (Green Papaya Salad),~150 kcal,Fresh raw vegetables with a tangy dressing. High fibre; low calorie.,Ask for less sugar in the dressing. A refreshing and light starter.,Super Thai,Multiple outlets
Thai,Larb (Minced Meat Salad),~250 kcal,Minced chicken with fresh herbs; lime; and toasted rice. Light and protein-rich.,Choose chicken larb over pork for less fat. Eat with fresh vegetables.,Nakhon Kitchen,219 Upper Thomson Rd and others
Thai,Steamed Fish with Lime and Chilli,~200-250 kcal,Steamed preparation preserves nutrients without added oil. Fresh citrus flavours.,Much healthier than deep-fried fish dishes. Rich in protein and omega-3.,Thanying Thai Restaurant,Amara Hotel Tanjong Pagar
Thai,Pad Thai (portion-controlled),~400 kcal,Rice noodles with shrimp; tofu; and beansprouts. Moderate when shared.,Share a portion. Ask for less oil and sugar. Add extra beansprouts and lime.,Thai Express,Multiple outlets island-wide
Thai,Pad Thai (portion-controlled),~400 kcal,Rice noodles with shrimp; tofu; and beansprouts. Moderate when shared.,Share a portion. Ask for less oil and sugar. Add extra beansprouts and lime.,Soi Aroy,Golden Mile Complex
Vietnamese,Pho (Beef or Chicken),~350-400 kcal,Light aromatic broth with rice noodles; lean meat; and fresh herbs.,Load up on fresh herbs. Choose lean cuts. Limit hoisin/sriracha.,Mrs Pho,Multiple outlets
Vietnamese,Pho (Beef or Chicken),~350-400 kcal,Light aromatic broth with rice noodles; lean meat; and fresh herbs.,Load up on fresh herbs. Choose lean cuts. Limit hoisin/sriracha.,An Viet,Golden Mile Complex
Vietnamese,Goi Cuon (Fresh Spring Rolls),~100-120 kcal per roll,Fresh rice paper rolls with shrimp; vermicelli; and herbs. Not fried.,Much healthier than fried spring rolls. Dip sparingly in sauce.,Sen Vietnamese,Multiple outlets
Vietnamese,Goi Cuon (Fresh Spring Rolls),~100-120 kcal per roll,Fresh rice paper rolls with shrimp; vermicelli; and herbs. Not fried.,Much healthier than fried spring rolls. Dip sparingly in sauce.,Pho Street,Multiple food courts
Vietnamese,Bun Cha (Grilled Pork Vermicelli),~400 kcal,Grilled lean pork with fresh herbs; pickled vegetables; and rice vermicelli.,Eat with plenty of fresh lettuce and herbs. Light dipping broth is low fat.,Co Chung Vietnamese,15 Purvis St
Vietnamese,Bun Cha (Grilled Pork Vermicelli),~400 kcal,Grilled lean pork with fresh herbs; pickled vegetables; and rice vermicelli.,Eat with plenty of fresh lettuce and herbs. Light dipping broth is low fat.,Long Phung Vietnamese,159 Thomson Rd
Vietnamese,Banh Mi (Light version),~350-400 kcal,Grilled meat with pickled vegetables and fresh herbs in a light baguette.,Choose grilled chicken over pate-heavy versions. Fresh vegetables add fibre.,Banh Mi Thit,Bali Lane / Kampong Glam
Vietnamese,Banh Mi (Light version),~350-400 kcal,Grilled meat with pickled vegetables and fresh herbs in a light baguette.,Choose grilled chicken over pate-heavy versions. Fresh vegetables add fibre.,Sen Vietnamese,Multiple outlets
Mediterranean / Middle Eastern,Hummus with Whole Wheat Pita,~300 kcal,Chickpea-based dip rich in protein; fibre; and healthy fats from tahini.,A nutrient-dense option. Chickpeas provide plant protein and fibre.,Alaturka Mediterranean Restaurant,16 Bussorah St
Mediterranean / Middle Eastern,Hummus with Whole Wheat Pita,~300 kcal,Chickpea-based dip rich in protein; fibre; and healthy fats from tahini.,A nutrient-dense option. Chickpeas provide plant protein and fibre.,Blu Kouzina,10 Dempsey Rd
Mediterranean / Middle Eastern,Greek Salad,~200 kcal,Fresh tomatoes; cucumbers; olives; and feta. Rich in antioxidants.,Ask for dressing on the side. Olives provide heart-healthy monounsaturated fats.,Zorba The Greek Taverna,Clarke Quay
Mediterranean / Middle Eastern,Greek Salad,~200 kcal,Fresh tomatoes; cucumbers; olives; and feta. Rich in antioxidants.,Ask for dressing on the side. Olives provide heart-healthy monounsaturated fats.,Alati Greek Cuisine,Amoy Street
Mediterranean / Middle Eastern,Grilled Kebab Plate,~400-450 kcal,Lean grilled meat with salad and grains. High protein; moderate carbs.,Choose chicken or lamb shish over doner. Pair with tabbouleh for extra veg.,Alaturka,16 Bussorah St / Kampong Glam
Mediterranean / Middle Eastern,Grilled Kebab Plate,~400-450 kcal,Lean grilled meat with salad and grains. High protein; moderate carbs.,Choose chicken or lamb shish over doner. Pair with tabbouleh for extra veg.,Hapiha Mediterranean Taverna,Ridgewood Condominium
Mediterranean / Middle Eastern,Falafel Wrap,~400 kcal,Chickpea-based protein; baked or lightly fried. Good plant-based protein.,Choose baked falafel if available. Load with salad and tahini instead of mayo.,Pita Tree Mediterranean Kitchen,60 Robertson Quay
Mediterranean / Middle Eastern,Grilled Fish (Mediterranean Style),~300-350 kcal,Fresh fish grilled with olive oil; lemon; and herbs. Rich in omega-3.,Mediterranean diet staple. Pair with roasted vegetables for a complete meal.,Blu Kouzina,10 Dempsey Rd
Western / Healthy Cafes,Grain Bowls / Poke Bowls,~450-550 kcal,Customizable bowls with lean protein; grains; and vegetables. Balanced macros.,Choose brown rice or quinoa base. Load up on greens. Go easy on creamy dressings.,The Daily Cut,CBD - various outlets
Western / Healthy Cafes,Grain Bowls / Poke Bowls,~450-550 kcal,Customizable bowls with lean protein; grains; and vegetables. Balanced macros.,Choose brown rice or quinoa base. Load up on greens. Go easy on creamy dressings.,Grain Traders,CBD area
Western / Healthy Cafes,Acai Bowls,~350-400 kcal,Rich in antioxidants; fibre; and healthy fats from nuts and seeds.,Watch portion size and added granola/honey. Choose fresh fruit toppings.,An Acai Affair,Multiple outlets
Western / Healthy Cafes,Acai Bowls,~350-400 kcal,Rich in antioxidants; fibre; and healthy fats from nuts and seeds.,Watch portion size and added granola/honey. Choose fresh fruit toppings.,Project Acai,Multiple outlets
Western / Healthy Cafes,Grilled Chicken Salad,~350-450 kcal,Lean protein with fresh vegetables. High fibre; low in processed carbs.,Ask for dressing on the side. Choose vinaigrette over creamy dressings.,SaladStop!,Multiple outlets island-wide
Western / Healthy Cafes,Grilled Chicken Salad,~350-450 kcal,Lean protein with fresh vegetables. High fibre; low in processed carbs.,Ask for dressing on the side. Choose vinaigrette over creamy dressings.,Carrotsticks & Cravings,Dempsey
Western / Healthy Cafes,Overnight Oats / Smoothie Bowls,~300-400 kcal,Whole grain oats with fruits; nuts; and seeds. Sustained energy release.,Good breakfast option. Check sugar content in cafe versions.,The Butcher's Wife (gluten-free),19 Yong Siak St
Western / Healthy Cafes,Bamboo Bowls (Meal Prep),~400-500 kcal,Pre-portioned balanced meals with lean protein; complex carbs; and vegetables.,Great for busy professionals. Consistent nutrition with eco-friendly packaging.,Bamboo Bowls,Delivery island-wide
Peranakan / Nonya,Nonya Chap Chye (Mixed Vegetable Stew),~150-200 kcal,Braised mixed vegetables with mushrooms and glass noodles. High fibre.,A naturally vegetable-heavy dish. Good source of dietary fibre.,Whole Earth,76 Peck Seah St
Peranakan / Nonya,Nonya Chap Chye (Mixed Vegetable Stew),~150-200 kcal,Braised mixed vegetables with mushrooms and glass noodles. High fibre.,A naturally vegetable-heavy dish. Good source of dietary fibre.,True Blue Cuisine,47/49 Armenian St
Peranakan / Nonya,Ayam Buah Keluak,~350 kcal,Chicken braised with buah keluak nuts - rich in minerals.,Unique Peranakan dish. Buah keluak nuts are rich in minerals. Share the dish.,Candlenut,17A Dempsey Rd
Peranakan / Nonya,Ayam Buah Keluak,~350 kcal,Chicken braised with buah keluak nuts - rich in minerals.,Unique Peranakan dish. Buah keluak nuts are rich in minerals. Share the dish.,Chilli Padi Nonya,11 Upper East Coast Rd
Peranakan / Nonya,Kueh Pie Tee (Top Hats),~100-120 kcal (3 pieces),Small crispy shells filled with shredded turnip and shrimp. Small portions.,Good appetizer option. Small portions help with calorie control.,True Blue Cuisine,47/49 Armenian St
Vegetarian / Plant-Based,Plant-Based Omakase,~400-500 kcal (full course),Creative plant-based cuisine using seasonal vegetables. Low in saturated fat.,A fine-dining healthy experience. All plant-based with minimal processing.,Ki Su,Downtown area
Vegetarian / Plant-Based,Plant-Based Omakase,~400-500 kcal (full course),Creative plant-based cuisine using seasonal vegetables. Low in saturated fat.,A fine-dining healthy experience. All plant-based with minimal processing.,Teng Bespoke (Japanese vegetarian),Tras St
Vegetarian / Plant-Based,Buddha Bowl / Nourish Bowl,~400-500 kcal,Whole grains; legumes; roasted vegetables; and plant protein. Complete nutrition.,Look for bowls with diverse colours for maximum nutrient variety.,Whole Earth,76 Peck Seah St
Vegetarian / Plant-Based,Buddha Bowl / Nourish Bowl,~400-500 kcal,Whole grains; legumes; roasted vegetables; and plant protein. Complete nutrition.,Look for bowls with diverse colours for maximum nutrient variety.,Real Food,Multiple outlets
Vegetarian / Plant-Based,Mushroom-Based Dishes,~250-350 kcal,Mushrooms are low calorie; high in B vitamins; provide umami without added fat.,Great meat substitute. Look for lion's mane; shiitake; or king oyster mushroom.,Original Sin,43 Jln Merah Saga / Holland Village
